Ticker,Nombre,Sector,ETF Sector,Precio Actual,RSC Mansfield Activo,Momentum (MOM),RSC Mansfield Sector,VPM5,Distancia % WMA30,Dirección Coppock SP500
EQIX,Equinix,Real Estate,XLRE,1091.3,1.6359,0.0792,0.1185,0.405,7.92,↑ Alcista
HWM,Howmet Aerospace,Industrials,XLI,268.87,1.5114,0.0773,0.4708,1.2727,7.73,↑ Alcista
NDSN,Nordson Corporation,Industrials,XLI,301.47,1.1331,0.0773,0.4708,0.4559,7.73,↑ Alcista
EQR,Equity Residential,Real Estate,XLRE,68.38,0.1677,0.0763,0.1185,1.2934,7.63,↑ Alcista
DE,Deere & Company,Industrials,XLI,613.24,0.8879,0.0725,0.4708,0.2258,7.25,↑ Alcista
REG,Regency Centers,Real Estate,XLRE,81.81,0.5411,0.0695,0.1185,1.3972,6.95,↑ Alcista
SNA,Snap-on,Industrials,XLI,397.1,0.5419,0.0655,0.4708,0.1235,6.55,↑ Alcista
EXR,Extra Space Storage,Real Estate,XLRE,149.21,0.0404,0.061,0.1185,0.0766,6.1,↑ Alcista
TT,Trane Technologies,Industrials,XLI,477.89,0.2692,0.0591,0.4708,0.4938,5.91,↑ Alcista
VTR,Ventas,Real Estate,XLRE,89.05,0.7719,0.0579,0.1185,0.7141,5.79,↑ Alcista
