Ticker,Precio Actual,RSC Mansfield,S1 RSC < -0.5,S3 Coppock Bajista,SALIDA,Motivo,Error,Sector,Precio Entrada,Rentabilidad %
OXY,49.99,-0.3258,False,False,False,—,,Energy,59.13,-15.46
COP,105.96,-0.3405,False,False,False,—,,Energy,119.68,-11.46
XOM,136.54,-0.1409,False,False,False,—,,Energy,154.08,-11.38
CVX,171.06,-0.4155,False,False,False,—,,Energy,192.79,-11.27
DVN,42.21,0.0641,False,False,False,—,,Energy,46.99,-10.17
BKR,56.56,-0.007,False,False,False,—,,Energy,62.95,-10.15
FANG,179.91,0.3625,False,False,False,—,,Energy,199.22,-9.69
HUBB,517.02,0.3708,False,False,False,—,,Industrials,529.78,-2.41
PH,968.92,0.5717,False,False,False,—,,Industrials,954.24,1.54
NDSN,301.47,1.1331,False,False,False,—,,Industrials,296.18,1.79
